clk,period,time
2,507,190114
3,290,116906
1,999,374106
2,492,190606
3,301,117208
1,1000,375107
2,507,191114
3,298,117506
1,1000,376107
2,492,191607
3,300,117807
1,999,377107
2,507,192114
3,317,118124
1,1000,378107
2,492,192606
3,282,118406
1,1000,379107
2,507,193114
3,301,118708
1,999,380106
2,492,193607
3,298,119006
1,999,381106
2,507,194114
3,300,119306
1,1000,382107
2,492,194606
3,309,119616
1,1000,383107
2,507,195114
3,290,119906
1,999,384107
2,492,195607
3,301,120208
1,999,385106
2,507,196114
3,298,120506
1,999,386106
2,492,196606
3,300,120807
1,999,387106
2,507,197114
3,317,121124
1,1000,388107
2,492,197607
3,282,121406
1,1000,389107
2,507,198114
3,301,121708
1,999,390106
2,492,198606
3,298,122006
1,999,391106
2,507,199114
3,299,122306
1,999,392106
2,492,199607
3,309,122616
1,1000,393106
2,507,200114
3,290,122906
1,1000,394107
2,492,200606
3,301,123208
1,999,395107
2,507,201114
3,298,123506
1,1000,396107
2,492,201607
3,300,123806
1,1000,397107
2,507,202114
3,317,124124
1,999,398106
2,492,202607
3,282,124406
1,1000,399107
2,507,203114
3,301,124708
1,999,400106
2,492,203606
3,298,125006
1,999,401106
2,507,204114
3,299,125306
1,1000,402107
2,492,204606
3,309,125616
1,1000,403107
2,507,205114
3,290,125906
1,999,404107
2,492,205606
3,301,126208
1,1000,405107
2,507,206114
3,298,126506
1,999,406107
2,492,206606
3,300,126806
1,999,407106
2,507,207114
3,317,127124
1,1000,408107
2,492,207606
3,282,127406
1,1000,409107
2,507,208114
3,301,127708
1,999,410107
2,492,208607
3,298,128006
1,1000,411107
2,507,209114
3,300,128306
1,1000,412107
2,492,209607
3,309,128616
1,999,413107
2,507,210114
3,290,128906
1,999,414106
2,492,210606
3,301,129208
1,1000,415107
2,507,211114
3,298,129506
1,999,416106
2,492,211606
3,300,129807
1,1000,417107
2,507,212114
3,317,130124
1,1000,418107
2,492,212606
3,282,130406
1,999,419106
2,507,213114
3,301,130708
1,1000,420106
2,492,213607
3,298,131006
1,1000,421106
2,507,214114
3,299,131306
1,1000,422107
2,492,214607
3,309,131616
1,1000,423107
2,507,215114
3,290,131906
1,999,424107
2,492,215607
3,301,132208
1,1000,425107
2,507,216114
3,298,132506
1,1000,426107
2,492,216607
3,300,132806
1,1000,427107
2,507,217114
3,317,133124
1,999,428106
2,492,217607
3,282,133406
1,1000,429106
2,507,218114
3,301,133708
1,1000,430107
2,492,218607
3,298,134006
1,1000,431107
2,507,219114
3,300,134306
1,1000,432107
2,492,219606
3,309,134616
1,1000,433107
2,507,220114
3,290,134906
1,999,434106
2,492,220607
3,301,135208
1,999,435106
2,507,221114
3,298,135506
1,1000,436107
2,492,221606
3,300,135806
1,999,437106
2,507,222114
3,317,136124
1,1000,438107
2,492,222607
3,282,136406
1,999,439107
2,507,223114
3,301,136708
1,999,440106
2,492,223607
3,298,137006
1,1000,441106
2,507,224114
3,300,137306
1,1000,442106
2,492,224607
3,309,137616
1,999,443106
2,507,225114
3,290,137906
1,1000,444106
2,492,225607
3,301,138208
1,999,445106
2,507,226114
3,298,138506
1,1000,446106
2,492,226606
3,300,138807
1,1000,447106
2,507,227114
3,317,139124
1,1000,448107
2,492,227606
3,282,139406
1,999,449106
2,507,228114
3,301,139708
1,1000,450106
2,492,228606
3,298,140006
1,1000,451107
2,507,229114
3,299,140306
1,999,452106
2,492,229607
3,309,140616
1,1000,453107
2,507,230114
3,290,140906
1,999,454106
2,492,230607
3,301,141208
1,1000,455106
2,507,231114
3,298,141506
1,1000,456107
2,492,231606
3,300,141807
1,999,457107
2,507,232114
3,317,142124
1,999,458107
2,492,232606
3,282,142406
1,999,459106
2,507,233114
3,301,142708
1,1000,460106
2,492,233606
3,298,143006
1,1000,461106
2,507,234114
3,300,143307
1,1000,462106
2,492,234607
3,309,143616
1,1000,463107
2,507,235114
3,290,143906
1,999,464107
2,492,235607
3,301,144208
1,999,465106
2,507,236114
3,298,144506
1,1000,466107
2,492,236607
3,300,144806
1,999,467106
2,507,237114
3,317,145124
1,1000,468107
2,492,237606
3,282,145406
1,999,469107
2,507,238114
3,301,145708
1,1000,470107
2,492,238606
3,298,146006
1,999,471106
2,507,239114
3,299,146306
1,1000,472107
2,492,239607
3,309,146616
1,999,473106
2,507,240114
3,290,146906
1,999,474106
2,492,240607
3,301,147208
1,1000,475107
2,507,241114
3,298,147506
1,1000,476107
2,492,241607
3,300,147807
1,999,477107
2,507,242114
3,316,148123
1,1000,478107
2,492,242607
3,282,148406
1,999,479107
2,507,243114
3,301,148708
1,999,480106
2,492,243606
3,298,149006
1,1000,481106
2,507,244114
3,299,149306
1,1000,482107
2,492,244606
3,309,149616
1,1000,483107
2,507,245114
3,290,149906
1,999,484106
2,492,245607
3,301,150208
1,1000,485107
2,507,246114
3,298,150506
1,999,486107
2,492,246607
3,300,150807
1,1000,487107
2,507,247114
3,316,151123
1,999,488106
2,492,247607
3,282,151406
1,1000,489106
2,507,248114
3,301,151708
1,1000,490107
2,492,248607
3,298,152006
1,999,491106
2,507,249114
3,299,152306
1,1000,492107
2,492,249606
3,309,152616
1,999,493106
2,507,250114
3,290,152906
1,1000,494107
2,492,250606
3,301,153208
1,1000,495107
2,507,251114
3,298,153506
1,999,496107
2,492,251607
3,300,153807
1,999,497106
2,507,252114
3,317,154124
1,1000,498106
2,492,252606
3,282,154406
1,1000,499107
2,507,253114
3,301,154708
1,1000,500107
2,492,253606
3,298,155006
1,999,501107
2,507,254114
3,300,155306
1,1000,502107
2,492,254606
3,309,155616
1,1000,503107
2,507,255114
3,290,155906
1,999,504106
2,492,255606
3,301,156208
1,1000,505107
2,507,256114
3,298,156506
1,999,506106
2,492,256607
3,300,156806
1,1000,507107
2,507,257114
3,317,157124
1,999,508106
2,492,257607
3,282,157406
1,1000,509106
2,507,258114
3,301,157708
1,999,510106
2,492,258607
3,298,158006
1,1000,511107
2,507,259114
3,300,158306
1,999,512106
2,492,259606
3,309,158616
1,1000,513106
2,507,260114
3,290,158906
1,1000,514107
2,492,260606
3,301,159208
1,999,515107
2,507,261114
3,298,159506
1,1000,516107
2,492,261606
3,300,159806
1,1000,517107
2,507,262114
3,317,160124
1,999,518106
2,492,262607
3,282,160406
1,1000,519107
2,507,263114
3,301,160708
1,1000,520107
2,492,263607
3,298,161006
1,1000,521107
2,507,264114
3,300,161306
1,999,522106
2,492,264607
3,309,161616
1,1000,523106
2,507,265114
3,290,161906
1,1000,524106
2,492,265607
3,301,162208
1,999,525106
2,507,266114
3,298,162506
1,1000,526107
2,492,266606
3,300,162807
1,999,527106
2,507,267114
3,317,163124
1,1000,528106
2,492,267607
3,282,163406
1,1000,529107
2,507,268114
3,301,163708
1,999,530106
2,492,268607
3,298,164006
1,1000,531106
2,507,269114
3,300,164306
1,999,532106
2,492,269607
3,309,164616
1,1000,533106
2,507,270114
3,290,164906
1,1000,534107
2,492,270606
3,301,165208
1,1000,535107
2,507,271114
3,298,165506
1,999,536106
2,492,271607
3,300,165806
1,1000,537106
2,507,272114
3,317,166124
1,1000,538106
2,492,272607
3,282,166406
1,1000,539107
2,507,273114
3,301,166708
1,1000,540107
2,492,273606
3,298,167006
1,999,541107
